1799,0.575676,1799,0.440540,1799,0.522298,1799,0.550982,
1801,0.475806,1801,0.316545,1801,0.532163,1801,0.580737,
1811,0.478428,1811,0.317588,1811,0.526469,1811,0.563833,
1813,0.474681,1813,0.321908,1813,0.533031,1813,0.541267,
1783,0.596687,1783,0.362388,1783,0.582566,1783,0.650751,
1786,0.572072,1786,0.421573,1786,0.602286,1786,0.579656,
1803,0.474847,1803,0.322766,1803,0.586899,1803,0.544222,
1796,0.492241,1796,0.394106,1796,0.684013,1796,0.644243,
1792,0.517175,1792,0.338844,1792,0.651867,1792,0.647839,
1800,0.541674,1800,0.364278,1800,0.647232,1800,0.652083,
